[0.000000] (-) TimerEvent: {}
[0.001261] (-) JobUnselected: {'identifier': 'apriltag'}
[0.001533] (-) JobUnselected: {'identifier': 'apriltag_msgs'}
[0.002036] (-) JobUnselected: {'identifier': 'apriltag_ros'}
[0.002171] (-) JobUnselected: {'identifier': 'audio_utils'}
[0.002283] (-) JobUnselected: {'identifier': 'audio_utils_msgs'}
[0.002393] (-) JobUnselected: {'identifier': 'cartographer'}
[0.002499] (-) JobUnselected: {'identifier': 'costmap_converter'}
[0.002604] (-) JobUnselected: {'identifier': 'costmap_converter_msgs'}
[0.002710] (-) JobUnselected: {'identifier': 'cv_camera'}
[0.002816] (-) JobUnselected: {'identifier': 'emcl2'}
[0.002921] (-) JobUnselected: {'identifier': 'explore_lite'}
[0.003025] (-) JobUnselected: {'identifier': 'face_cropping'}
[0.003129] (-) JobUnselected: {'identifier': 'ldlidar'}
[0.003231] (-) JobUnselected: {'identifier': 'map_image_generator'}
[0.003334] (-) JobUnselected: {'identifier': 'odas_ros'}
[0.003439] (-) JobUnselected: {'identifier': 'odas_ros_msgs'}
[0.003544] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.003647] (-) JobUnselected: {'identifier': 'opentera_client_ros'}
[0.003749] (-) JobUnselected: {'identifier': 'opentera_protobuf_messages'}
[0.003858] (-) JobUnselected: {'identifier': 'opentera_webrtc_demos'}
[0.004413] (-) JobUnselected: {'identifier': 'opentera_webrtc_robot_gui'}
[0.004740] (-) JobUnselected: {'identifier': 'opentera_webrtc_ros_msgs'}
[0.004859] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.004928] (-) JobUnselected: {'identifier': 'robot_pose_publisher'}
[0.005010] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.005244] (-) JobUnselected: {'identifier': 'teb_local_planner'}
[0.005348] (-) JobUnselected: {'identifier': 'teb_msgs'}
[0.005463] (-) JobUnselected: {'identifier': 'turtlebot3_beam_description'}
[0.005548] (-) JobUnselected: {'identifier': 'ugv_base_node'}
[0.005614] (-) JobUnselected: {'identifier': 'ugv_bringup'}
[0.005690] (-) JobUnselected: {'identifier': 'ugv_chat_ai'}
[0.005808] (-) JobUnselected: {'identifier': 'ugv_description'}
[0.005908] (-) JobUnselected: {'identifier': 'ugv_gazebo'}
[0.005992] (-) JobUnselected: {'identifier': 'ugv_interface'}
[0.006075] (-) JobUnselected: {'identifier': 'ugv_nav'}
[0.006270] (-) JobUnselected: {'identifier': 'ugv_slam'}
[0.006372] (-) JobUnselected: {'identifier': 'ugv_tools'}
[0.006437] (-) JobUnselected: {'identifier': 'ugv_vision'}
[0.006515] (-) JobUnselected: {'identifier': 'ugv_web_app'}
[0.006594] (-) JobUnselected: {'identifier': 'vizanti'}
[0.006659] (-) JobUnselected: {'identifier': 'vizanti_cpp'}
[0.006737] (-) JobUnselected: {'identifier': 'vizanti_demos'}
[0.006929] (-) JobUnselected: {'identifier': 'vizanti_msgs'}
[0.007023] (-) JobUnselected: {'identifier': 'vizanti_server'}
[0.007135] (opentera_webrtc_ros) JobQueued: {'identifier': 'opentera_webrtc_ros', 'dependencies': OrderedDict([('audio_utils_msgs', '/home/ws/ugv_ws/install/audio_utils_msgs'), ('cv_camera', '/home/ws/ugv_ws/install/cv_camera'), ('odas_ros_msgs', '/home/ws/ugv_ws/install/odas_ros_msgs'), ('opentera_webrtc_ros_msgs', '/home/ws/ugv_ws/install/opentera_webrtc_ros_msgs'), ('map_image_generator', '/home/ws/ugv_ws/install/map_image_generator')])}
[0.007256] (opentera_webrtc_ros) JobStarted: {'identifier': 'opentera_webrtc_ros'}
[0.078288] (opentera_webrtc_ros) JobEnded: {'identifier': 'opentera_webrtc_ros', 'rc': 1}
[0.089287] (-) EventReactorShutdown: {}
