id,from_node,to_node,element,mechanism,direction,condition,confidence,note
PWR-E001,H2.1/VDD_DC_JACK,DC_IN,M1 AO4407,P-channel MOSFET channel,bidirectional_when_on,M1 VGS sufficiently negative; gate pulled to GND by R15,high,Input reverse-polarity / reverse-current stage. Drain pins 5-8 are input; source pins 1-3 are DC_IN.
PWR-E002,H2.1/VDD_DC_JACK,DC_IN,M1 body diode,P-MOS body diode,forward_only,forward biased from drain to source,high,Startup path from barrel input toward DC_IN; blocks reverse current toward barrel when reverse biased.
PWR-E003,DC_IN,VIN,R21 0.01 ohm,current shunt,bidirectional,always,high,INA219 IN+ is on DC_IN side; IN- is on VIN side. Only the buck/5-V branch passes through this shunt.
PWR-E004,VIN,SW,U5 MP8759,buck switching stage,forward_power,U5 enabled and switching,high,VIN pin 1 to SW pin 7 through internal switching devices.
PWR-E005,SW,VOUT_5V_RAW,L2 1.5uH,inductor,bidirectional,always,high,Raw regulated output after L2; labeled Vout / 5V_Vout on the drawing.
PWR-E006,VOUT_5V_RAW,5V_MAIN,M2 AO4407,P-channel MOSFET channel,bidirectional_when_on,M2 gate network Q1/Q2 enables channel,high,M2 drain pins 5-8 are on 5V_Vout; source pins 1-3 are on 5V/VDD5V.
PWR-E007,VOUT_5V_RAW,5V_MAIN,M2 body diode,P-MOS body diode,forward_only,forward biased from drain to source,high,Intrinsic forward path from raw buck output to board 5-V rail; reverse direction is blocked by the body diode.
PWR-E008,TYPE_C1_VBUS/VDDUSB,5V_MAIN,D2 MBR230,Schottky diode,forward_only,VBUS exceeds 5V_MAIN by diode drop,high,USB-C1 may source the post-M2 5-V rail; main 5 V cannot backfeed Type-C1 through D2.
PWR-E009,TYPE_C2_VBUS/VDDUSB1,5V_MAIN,D1 MBR230,Schottky diode,forward_only,VBUS exceeds 5V_MAIN by diode drop,high,USB-C2 may source the post-M2 5-V rail; main 5 V cannot backfeed Type-C2 through D1.
PWR-E010,HOST_HEADER_5V,5V_MAIN,P1/P2 copper,direct copper,bidirectional,always,medium,The header 5-V terminals are on the board 5-V net; exact P1/P2 pin-number mapping is still being verified from the mirrored drawing.
PWR-E011,5V_MAIN,3V3_MAIN,AMS-1 AMS1117-3.3,linear regulator,forward_power,input above dropout and within rating,high,5V/VDD5V is the AMS1117 input; VDD3V3/3V3 is the output.
PWR-E012,3V3_MAIN,1V8,U2 RT9193-1.8,linear regulator,forward_power,enabled; EN is tied to input rail,high,Powers ICM-20948 and 1.8-V side of level translator.
PWR-E013,DC_IN,TB1_VM,board copper,direct branch,bidirectional,always,high,"TB1 VM1/VM2/VM3 motor-power pins; branch occurs before R21, so its current is not measured by U6."
PWR-E014,DC_IN,TB2_VM,board copper,direct branch,bidirectional,always,high,"TB2 VM1/VM2/VM3 motor-power pins; branch occurs before R21, so its current is not measured by U6."
PWR-E015,DC_IN,H7.2_SERVO_POWER,board copper,direct branch,bidirectional,always,high,"Bus-servo connector H7 pin 2; branch occurs before R21, so its current is not measured by U6."
PWR-E016,DC_IN,H8.2_SERVO_POWER,board copper,direct branch,bidirectional,always,high,"Bus-servo connector H8 pin 2; branch occurs before R21, so its current is not measured by U6."
PWR-E017,DC_IN,J1.2_LOAD_PLUS,board copper,direct branch,bidirectional,always,high,"IO-control output group A connector J1 pin 2; branch occurs before R21, so its current is not measured by U6."
PWR-E018,DC_IN,J3.2_LOAD_PLUS,board copper,direct branch,bidirectional,always,high,"IO-control output group A connector J3 pin 2; branch occurs before R21, so its current is not measured by U6."
PWR-E019,DC_IN,J2.2_LOAD_PLUS,board copper,direct branch,bidirectional,always,high,"IO-control output group B connector J2 pin 2; branch occurs before R21, so its current is not measured by U6."
PWR-E020,DC_IN,J4.2_LOAD_PLUS,board copper,direct branch,bidirectional,always,high,"IO-control output group B connector J4 pin 2; branch occurs before R21, so its current is not measured by U6."
PWR-E021,5V_MAIN,H1.3_LIDAR_5V,board copper,direct branch,bidirectional,always,high,LIDAR connector H1 pin 3
PWR-E022,5V_MAIN,U3.9_VBUS,board copper,direct branch,bidirectional,always,high,LIDAR CH343P VBUS pin
PWR-E023,5V_MAIN,U7.9_VBUS,board copper,direct branch,bidirectional,always,high,ESP32 CH343P VBUS pin
PWR-E024,5V_MAIN,P1/P2_5V,board copper,direct branch,bidirectional,always,high,Host-header 5-V terminals
PWR-E025,5V_MAIN,AMS1.VIN,board copper,direct branch,bidirectional,always,high,3.3-V regulator input
PWR-E026,3V3_MAIN,M3.2_VDD33,board copper,direct branch,bidirectional,always,high,ESP32-WROOM-32UE supply
PWR-E027,3V3_MAIN,U6.5_VS,board copper,direct branch,bidirectional,always,high,INA219 supply
PWR-E028,3V3_MAIN,U3_VIO_VDD5_V3,board copper,direct branch,bidirectional,always,high,CH343P U3 logic/supply pins shown on 3V3_OP
PWR-E029,3V3_MAIN,U7_VIO_VDD5_V3,board copper,direct branch,bidirectional,always,high,CH343P U7 logic/supply pins shown on 3V3_OP
PWR-E030,3V3_MAIN,U4.14_VCCB,board copper,direct branch,bidirectional,always,high,LSF0204 3.3-V side
PWR-E031,3V3_MAIN,U2.1_VIN,board copper,direct branch,bidirectional,always,high,RT9193 input
PWR-E032,3V3_MAIN,TB1.19_20_STBY_VCC,board copper,direct branch,bidirectional,always,high,TB1 STBY and VCC
PWR-E033,3V3_MAIN,TB2.19_20_STBY_VCC,board copper,direct branch,bidirectional,always,high,TB2 STBY and VCC
PWR-E034,3V3_MAIN,H3.5_ENCODER_POWER,board copper,direct branch,bidirectional,always,high,Motor-B encoder connector power
PWR-E035,3V3_MAIN,H5.5_ENCODER_POWER,board copper,direct branch,bidirectional,always,high,Motor-A encoder connector power
PWR-E036,3V3_MAIN,P3.1_I2C_POWER,board copper,direct branch,bidirectional,always,high,I2C connector P3 power
