Connector,Type / value,Pin,Net,Functional block
P3,PH2.0 4P vertical,0,GND,10DOF / I2C
P3,PH2.0 4P vertical,1,3V3,10DOF / I2C
P3,PH2.0 4P vertical,2,GND,10DOF / I2C
P3,PH2.0 4P vertical,3,IIC_SDA,10DOF / I2C
P3,PH2.0 4P vertical,4,IIC_SCL,10DOF / I2C
P4,PH2.0 4P vertical,0,GND,10DOF / I2C
P4,PH2.0 4P vertical,1,3V3,10DOF / I2C
P4,PH2.0 4P vertical,2,GND,10DOF / I2C
P4,PH2.0 4P vertical,3,IIC_SDA,10DOF / I2C
P4,PH2.0 4P vertical,4,IIC_SCL,10DOF / I2C
H2,5.5x2.1 DC005 barrel jack,0,GND,PWR-IN / 5V-5A
H2,5.5x2.1 DC005 barrel jack,1,VDD_DC_JACK,PWR-IN / 5V-5A
H2,5.5x2.1 DC005 barrel jack,2,GND,PWR-IN / 5V-5A
H1,PH2.0 4P vertical,0,GND,LIDAR USB-UART
H1,PH2.0 4P vertical,1,CP_RX,LIDAR USB-UART
H1,PH2.0 4P vertical,2,NC,LIDAR USB-UART
H1,PH2.0 4P vertical,3,GND,LIDAR USB-UART
H1,PH2.0 4P vertical,4,5V,LIDAR USB-UART
Type_C1,"USB Type-C receptacle, 16P SMT",A1/B12,GND,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A12/B1,GND,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A4/B9,VDDUSB,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A5,IP0,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A6,USBD_P,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A7,USBD_N,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A8,NC,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",A9/B4,VDDUSB,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",B5,IP1,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",B6,USBD_P,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",B7,USBD_N,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",B8,NC,USB Type-C
Type_C1,"USB Type-C receptacle, 16P SMT",MTB,GND,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A1/B12,GND,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A12/B1,GND,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A4/B9,VDDUSB1,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A5,CC1,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A6,D_P,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A7,D_N,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A8,NC,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",A9/B4,VDDUSB1,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",B5,CC2,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",B6,D_P,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",B7,D_N,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",B8,NC,USB Type-C
Type_C2,"USB Type-C receptacle, 16P SMT",MTB,GND,USB Type-C
H7,3-pin 2.5mm 5264-3A,1,DATA,Bus Servo
H7,3-pin 2.5mm 5264-3A,2,DC_IN,Bus Servo
H7,3-pin 2.5mm 5264-3A,3,GND,Bus Servo
H8,3-pin 2.5mm 5264-3A,1,DATA,Bus Servo
H8,3-pin 2.5mm 5264-3A,2,DC_IN,Bus Servo
H8,3-pin 2.5mm 5264-3A,3,GND,Bus Servo
J1,2-pin connector + shell pin 0,0,GND,IO Control
J1,2-pin connector + shell pin 0,1,IO4_SWITCHED,IO Control
J1,2-pin connector + shell pin 0,2,DC_IN,IO Control
J2,2-pin connector + shell pin 0,0,GND,IO Control
J2,2-pin connector + shell pin 0,1,IO5_SWITCHED,IO Control
J2,2-pin connector + shell pin 0,2,DC_IN,IO Control
J3,2-pin connector + shell pin 0,0,GND,IO Control
