Canonical net,Aliases shown in PDF,Description,Members
GND,,Main ground and connector shells,U2.2; C3.2; C4.2; C5.2; C6.2; C7.2; U1.18; C1.2; C2.2; R1.2; C11.2; R2.2; R3.2; U4.7; C12.2; C14.2; P3.0; P3.2; P4.0; P4.2; H2.0; H2.2; R15.2; U6.1; U6.2; U6.6; C30.2; C17.2; C18.2; C19.2; U5.2; R17.2; C21.2; C22.2; C23.2; C24.2; C25.2; C26.2; C27.2; C20.2; C28.2; R18.2; R19.2; U3.0; U3.2; C8.2; C9.2; C10.2; C13.2; H1.0; H1.3; Type_C1.A1/B12; Type_C1.A12/B1; Type_C1.MTB; Type_C2.A1/B12; Type_C2.A12/B1; Type_C2.MTB; R23.1; R24.1; R27.1; R28.1; C31.2; C32.2; PWR1.2; PWR2.2; AMS-1.1; PWR3.2; PWR4.2; TVS1.2; LED1.K; U7.0; U7.2; C35.2; C36.2; C37.2; C38.2; M3.1; M3.15; M3.38; M3.39; C33.2; C34.2; S1.1; S2.1; R49.2; U8.3; U9.3; C42.2; C43.2; C44.2; C40.2; C41.2; D3.A; D8.A; H7.3; H8.3; D4.A; R56.2; Q4.S; J1.0; J3.0; R57.2; Q5.S; J2.0; J4.0; P1.5; P2.5; P1.10; P2.10; P1.19; P2.19; P1.26; P2.26; P1.29; P2.29; P1.33; P2.33; P1.39; P2.39; P1.40; P2.40; TB1.3; TB1.4; TB1.9; TB1.10; TB1.18; TB2.3; TB2.4; TB2.9; TB2.10; TB2.18; C47.2; C49.2; C51.2; H5.0; H5.2; H3.0; H3.2; C45.2; C48.2; C50.2; H6.0; H4.0
AGND,,Buck regulator analog ground; drawn separately from GND,R20.2; U5.10; C29.2; R26.2
3V3,VDD3V3; 3V3_OP; 3V3OUT,3.3 V logic rail; all four labels are shown as one connected node,U2.1; U2.3; C3.1; C4.1; U4.14; R7.1; R8.1; C12.1; P3.1; P4.1; U6.5; C30.1; U3.1; U3.3; U3.6; C8.1; C9.1; C13.1; AMS-1.2; PWR3.1; PWR4.1; TVS1.1; R11.2; U7.1; U7.3; U7.6; C35.1; C36.1; C38.1; R31.1; R32.1; M3.2; R29.1; R30.1; R46.1; R48.1; Q3.E; U8.5; U9.5; R45.1; C42.1; C43.1; C44.1; C40.1; C41.1; D3.K; D8.K; TB1.19; TB1.20; TB2.19; TB2.20; C51.1; H5.5; H3.5; C50.1
1V8,,1.8 V IMU rail,U2.5; C5.1; C6.1; U1.8; U1.13; C1.1; C2.1; R1.1; U4.1; R5.1; R6.1; R9.2; C14.1
5V,VDD5V,Protected/switched 5 V system rail,M2.1; M2.2; M2.3; Q2.E; C27.1; C20.1; U3.9; C10.1; H1.4; D1.K; D2.K; PWR1.1; PWR2.1; AMS-1.3; U7.9; C37.1; P1.1; P1.3; P2.1; P2.3
5V_VOUT,Vout; 5V_Vout,Raw buck-converter 5 V output before M2,L2.2; C16.2; R14.1; C21.1; C22.1; C23.1; C24.1; C25.1; C26.1; C28.1; U5.5; M2.5; M2.6; M2.7; M2.8; Q1.E
DC_IN,,6-12 V protected input rail feeding motors and auxiliary loads,M1.1; M1.2; M1.3; U6.8; R21.1; H7.2; H8.2; D4.K; J1.2; J3.2; J2.2; J4.2; TB1.13; TB1.14; TB1.24; TB2.13; TB2.14; TB2.24; C47.1; C49.1; C45.1; C48.1
VIN,,Buck input after INA219 shunt R21,R21.2; U6.7; C17.1; C18.1; C19.1; R13.1; U5.1
VDD_DC_JACK,,Barrel-jack positive before M1,H2.1; M1.5; M1.6; M1.7; M1.8
VDDUSB,,Type_C1 VBUS,Type_C1.A4/B9; Type_C1.A9/B4; C31.1; D2.A
