Reference,Pin,Net,Value / Part,Functional block
C1,1,1V8,1uF,10DOF / I2C
C1,2,GND,1uF,10DOF / I2C
C2,1,1V8,100nF,10DOF / I2C
C2,2,GND,100nF,10DOF / I2C
C3,1,3V3,10uF,10DOF / I2C
C3,2,GND,10uF,10DOF / I2C
C4,1,3V3,1uF,10DOF / I2C
C4,2,GND,1uF,10DOF / I2C
C5,1,1V8,1uF,10DOF / I2C
C5,2,GND,1uF,10DOF / I2C
C6,1,1V8,0.1uF,10DOF / I2C
C6,2,GND,0.1uF,10DOF / I2C
C7,1,IMU_BP,22nF,10DOF / I2C
C7,2,GND,22nF,10DOF / I2C
C11,1,ICM_REGOUT,100nF,10DOF / I2C
C11,2,GND,100nF,10DOF / I2C
C12,1,3V3,100nF,10DOF / I2C
C12,2,GND,100nF,10DOF / I2C
C14,1,1V8,100nF,10DOF / I2C
C14,2,GND,100nF,10DOF / I2C
R1,1,1V8,10k,10DOF / I2C
R1,2,GND,10k,10DOF / I2C
R2,1,ICM_FSYNC,10k,10DOF / I2C
R2,2,GND,10k,10DOF / I2C
R3,1,ICM_AD0,10k,10DOF / I2C
R3,2,GND,10k,10DOF / I2C
R5,1,1V8,4.7k,10DOF / I2C
R5,2,I2C_SDA_ICM,4.7k,10DOF / I2C
R6,1,1V8,4.7k,10DOF / I2C
R6,2,I2C_SCL_ICM,4.7k,10DOF / I2C
R7,1,3V3,4.7k,10DOF / I2C
R7,2,EXT_ICM_FSYNC,4.7k,10DOF / I2C
R8,1,3V3,4.7k,10DOF / I2C
R8,2,EXT_ICM_INT,4.7k,10DOF / I2C
R9,1,IMU_LEVEL_OE,10k,10DOF / I2C
R9,2,1V8,10k,10DOF / I2C
U1,1,NC,ICM-20948,10DOF / I2C
U1,2,NC,ICM-20948,10DOF / I2C
U1,3,NC,ICM-20948,10DOF / I2C
U1,4,NC,ICM-20948,10DOF / I2C
U1,5,NC,ICM-20948,10DOF / I2C
U1,6,NC,ICM-20948,10DOF / I2C
U1,7,NC,ICM-20948,10DOF / I2C
U1,8,1V8,ICM-20948,10DOF / I2C
U1,9,ICM_AD0,ICM-20948,10DOF / I2C
U1,10,ICM_REGOUT,ICM-20948,10DOF / I2C
U1,11,ICM_FSYNC,ICM-20948,10DOF / I2C
U1,12,ICM_INT,ICM-20948,10DOF / I2C
U1,13,1V8,ICM-20948,10DOF / I2C
U1,14,NC,ICM-20948,10DOF / I2C
U1,15,NC,ICM-20948,10DOF / I2C
U1,16,NC,ICM-20948,10DOF / I2C
U1,17,NC,ICM-20948,10DOF / I2C
U1,18,GND,ICM-20948,10DOF / I2C
U1,19,NC,ICM-20948,10DOF / I2C
U1,20,NC,ICM-20948,10DOF / I2C
U1,21,NC,ICM-20948,10DOF / I2C
U1,22,NC,ICM-20948,10DOF / I2C
U1,23,I2C_SCL_ICM,ICM-20948,10DOF / I2C
U1,24,I2C_SDA_ICM,ICM-20948,10DOF / I2C
U2,1,3V3,RT9193-1.8GB,10DOF / I2C
U2,2,GND,RT9193-1.8GB,10DOF / I2C
U2,3,3V3,RT9193-1.8GB,10DOF / I2C
U2,4,IMU_BP,RT9193-1.8GB,10DOF / I2C
U2,5,1V8,RT9193-1.8GB,10DOF / I2C
U4,1,1V8,LSF0204PWR,10DOF / I2C
U4,2,NC,LSF0204PWR,10DOF / I2C
U4,3,NC,LSF0204PWR,10DOF / I2C
U4,4,I2C_SDA_ICM,LSF0204PWR,10DOF / I2C
U4,5,I2C_SCL_ICM,LSF0204PWR,10DOF / I2C
U4,6,NC,LSF0204PWR,10DOF / I2C
U4,7,GND,LSF0204PWR,10DOF / I2C
U4,8,IMU_LEVEL_OE,LSF0204PWR,10DOF / I2C
U4,9,NC,LSF0204PWR,10DOF / I2C
U4,10,IIC_SCL,LSF0204PWR,10DOF / I2C
U4,11,IIC_SDA,LSF0204PWR,10DOF / I2C
U4,12,EXT_ICM_INT,LSF0204PWR,10DOF / I2C
U4,13,EXT_ICM_FSYNC,LSF0204PWR,10DOF / I2C
U4,14,3V3,LSF0204PWR,10DOF / I2C
P3,0,GND,PH2.0 4P vertical,10DOF / I2C
P3,1,3V3,PH2.0 4P vertical,10DOF / I2C
P3,2,GND,PH2.0 4P vertical,10DOF / I2C
P3,3,IIC_SDA,PH2.0 4P vertical,10DOF / I2C
P3,4,IIC_SCL,PH2.0 4P vertical,10DOF / I2C
P4,0,GND,PH2.0 4P vertical,10DOF / I2C
P4,1,3V3,PH2.0 4P vertical,10DOF / I2C
P4,2,GND,PH2.0 4P vertical,10DOF / I2C
P4,3,IIC_SDA,PH2.0 4P vertical,10DOF / I2C
P4,4,IIC_SCL,PH2.0 4P vertical,10DOF / I2C
C15,1,BOOT_RC,220nF,PWR-IN / 5V-5A
C15,2,SW,220nF,PWR-IN / 5V-5A
C16,1,RC_COMP,NC/220pF,PWR-IN / 5V-5A
C16,2,5V_VOUT,NC/220pF,PWR-IN / 5V-5A
C17,1,VIN,22uF,PWR-IN / 5V-5A
C17,2,GND,22uF,PWR-IN / 5V-5A
C18,1,VIN,22uF,PWR-IN / 5V-5A
C18,2,GND,22uF,PWR-IN / 5V-5A
C19,1,VIN,100nF,PWR-IN / 5V-5A
C19,2,GND,100nF,PWR-IN / 5V-5A
C20,1,5V,100uF/10V,PWR-IN / 5V-5A
C20,2,GND,100uF/10V,PWR-IN / 5V-5A
C21,1,5V_VOUT,100nF,PWR-IN / 5V-5A
C21,2,GND,100nF,PWR-IN / 5V-5A
C22,1,5V_VOUT,22uF,PWR-IN / 5V-5A
C22,2,GND,22uF,PWR-IN / 5V-5A
C23,1,5V_VOUT,22uF,PWR-IN / 5V-5A
