Reference,Value / Part,Kind,Functional block,Source note
C1,1uF,capacitor,10DOF / I2C,
C2,100nF,capacitor,10DOF / I2C,
C3,10uF,capacitor,10DOF / I2C,
C4,1uF,capacitor,10DOF / I2C,
C5,1uF,capacitor,10DOF / I2C,
C6,0.1uF,capacitor,10DOF / I2C,
C7,22nF,capacitor,10DOF / I2C,
C11,100nF,capacitor,10DOF / I2C,
C12,100nF,capacitor,10DOF / I2C,
C14,100nF,capacitor,10DOF / I2C,
R1,10k,resistor,10DOF / I2C,
R2,10k,resistor,10DOF / I2C,
R3,10k,resistor,10DOF / I2C,
R5,4.7k,resistor,10DOF / I2C,
R6,4.7k,resistor,10DOF / I2C,
R7,4.7k,resistor,10DOF / I2C,
R8,4.7k,resistor,10DOF / I2C,
R9,10k,resistor,10DOF / I2C,
U1,ICM-20948,IMU,10DOF / I2C,
U2,RT9193-1.8GB,LDO,10DOF / I2C,
U4,LSF0204PWR,level translator,10DOF / I2C,
P3,PH2.0 4P vertical,connector,10DOF / I2C,
P4,PH2.0 4P vertical,connector,10DOF / I2C,
C15,220nF,capacitor,PWR-IN / 5V-5A,
C16,NC/220pF,capacitor,PWR-IN / 5V-5A,
C17,22uF,capacitor,PWR-IN / 5V-5A,
C18,22uF,capacitor,PWR-IN / 5V-5A,
C19,100nF,capacitor,PWR-IN / 5V-5A,
C20,100uF/10V,capacitor,PWR-IN / 5V-5A,
C21,100nF,capacitor,PWR-IN / 5V-5A,
C22,22uF,capacitor,PWR-IN / 5V-5A,
C23,22uF,capacitor,PWR-IN / 5V-5A,
C24,22uF,capacitor,PWR-IN / 5V-5A,
C25,22uF,capacitor,PWR-IN / 5V-5A,
C26,100nF,capacitor,PWR-IN / 5V-5A,
C27,10uF,capacitor,PWR-IN / 5V-5A,
C28,100nF,capacitor,PWR-IN / 5V-5A,
C29,1uF,capacitor,PWR-IN / 5V-5A,
C30,100nF (104),capacitor,PWR-IN / 5V-5A,
R10,3.3R,resistor,PWR-IN / 5V-5A,
R12,NC/499k,resistor,PWR-IN / 5V-5A,
R13,1.5M,resistor,PWR-IN / 5V-5A,
R14,75k 1%,resistor,PWR-IN / 5V-5A,
R15,2k,resistor,PWR-IN / 5V-5A,
R16,NC/499R,resistor,PWR-IN / 5V-5A,
R17,10k 1%,resistor,PWR-IN / 5V-5A,
R18,100k,resistor,PWR-IN / 5V-5A,
R19,470k,resistor,PWR-IN / 5V-5A,
R20,NS,resistor,PWR-IN / 5V-5A,
R21,"0.01R 1%, 2512, 2W alloy",resistor,PWR-IN / 5V-5A,
R22,100k,resistor,PWR-IN / 5V-5A,
R25,NS,resistor,PWR-IN / 5V-5A,
R26,NS,resistor,PWR-IN / 5V-5A,
L2,"1.5uH, 7x7x5",inductor,PWR-IN / 5V-5A,
H2,5.5x2.1 DC005 barrel jack,connector,PWR-IN / 5V-5A,
M1,AO4407 P-MOS,MOSFET,PWR-IN / 5V-5A,
M2,AO4407 P-MOS,MOSFET,PWR-IN / 5V-5A,
Q1,MMBT3906,PNP transistor,PWR-IN / 5V-5A,
Q2,MMBT3906,PNP transistor,PWR-IN / 5V-5A,
U5,MP8759GD,buck regulator,PWR-IN / 5V-5A,
U6,"INA219BIDR (SOP-8), address 0x42",current monitor,PWR-IN / 5V-5A,
C8,1uF,capacitor,LIDAR USB-UART,
C9,1uF,capacitor,LIDAR USB-UART,
C10,100nF (104),capacitor,LIDAR USB-UART,
C13,100nF (104),capacitor,LIDAR USB-UART,
R4,1k,resistor,LIDAR USB-UART,
U3,CH343P,USB-UART bridge,LIDAR USB-UART,
H1,PH2.0 4P vertical,connector,LIDAR USB-UART,
C31,10uF,capacitor,USB Type-C,
C32,10uF,capacitor,USB Type-C,
R23,5.1k,resistor,USB Type-C,
R24,5.1k,resistor,USB Type-C,
R27,5.1k,resistor,USB Type-C,
R28,5.1k,resistor,USB Type-C,
Type_C1,"USB Type-C receptacle, 16P SMT",connector,USB Type-C,
Type_C2,"USB Type-C receptacle, 16P SMT",connector,USB Type-C,
PWR1,10uF,capacitor,Main 3.3V Power,
PWR2,100nF (104),capacitor,Main 3.3V Power,
PWR3,10uF,capacitor,Main 3.3V Power,
PWR4,100nF (104),capacitor,Main 3.3V Power,
D1,MBR230LSFT1G (marking L3N),Schottky diode,Main 3.3V Power,
D2,MBR230LSFT1G (marking L3N),Schottky diode,Main 3.3V Power,
AMS-1,AMS1117-3.3,LDO,Main 3.3V Power,
LED1,"Red LED, 0402",LED,Main 3.3V Power,
